ФИО,Дата рождения,Адрес доставки,Дата оплаты,Валюта,Сумма
Матвеев Виктор Васильевич,1975-12-12,"199106, Санкт-Петербург г, Средний В.О. пр-кт, дом  98",2021-02-16,RUB,66146.46
Федорова Александра Алексеевна,1990-05-02,"191025, Санкт-Петербург г, Дмитровский пер, дом  11",2021-03-05,RUB,80700.73
Лавров Данила Тимофеевич,1967-07-06,"115408, Москва г, Алма-Атинская ул, дом  4",2021-11-16,RUB,95746.72
Волошин Даниил Дмитриевич,1964-10-01,"195197, Санкт-Петербург г, Кондратьевский пр-кт, дом  40, корпус  12",2021-03-05,RUB,26449.26
Харитонова Серафима Глебовна,1975-01-31,"125008, Москва г, Черепановых проезд, дом  38, корпус  1",2021-04-13,RUB,47385.43
Беляева Вероника Александровна,1965-12-09,"197350, Санкт-Петербург г, Королева пр-кт, дом  63, корпус  1",2021-10-07,RUB,14683.19
Дмитриева Анастасия Николаевна,1995-04-21,"127018, Москва г, Ямская 1-я ул, дом  3/7",2021-08-26,RUB,17971.47
Филимонова Эмилия Артуровна,1966-07-29,"123154, Москва г, Маршала Тухачевского ул, дом  24, корпус  1",2021-08-31,RUB,57485.93
Баженов Даниил Даниилович,1975-04-19,"198326, Санкт-Петербург г, Политрука Пасечника (Торики) ул, дом  10",2021-05-07,EUR,187.27
Самсонова Арина Сергеевна,1953-08-03,"109147, Москва г, Нижегородская ул, дом  2, корпус  1",2021-07-21,RUB,19344.45
Потапова Виктория Михайловна,1963-06-23,"198218, Санкт-Петербург г, Стрельна п, Красносельское ш, дом  40",2021-12-27,EUR,456.95
Беляев Дмитрий Степанович,1970-04-17,"194352, Санкт-Петербург г, Просвещения пр-кт, дом  50",2021-12-21,RUB,178549.24
Майорова Дарья Александровна,1972-03-12,"123458, Москва г, Таллинская ул, дом  13, корпус  2",2021-02-21,RUB,29297.5
Маслова София Ярославовна,2000-01-31,"107143, Москва г, Открытое ш, дом  25, корпус  3",2021-07-23,USD,788.81
Маслова Маргарита Максимовна,1980-06-16,"124617, Москва г, Зеленоград г, дом  к1448",2021-02-21,RUB,57051.68
Зубова Серафима Робертовна,1953-09-23,"115487, Москва г, Садовники ул, дом  10, корпус  1",2021-05-03,EUR,160.44
Яшин Александр Михайлович,1966-08-27,"123181, Москва г, Исаковского ул, дом  4, корпус  2",2021-06-22,RUB,37168.32
Бородина Ярослава Ивановна,1975-02-14,"125565, Москва г, Конаковский проезд, дом  19",2021-11-13,USD,583.45
Гусев Алексей Маркович,1966-11-19,"194354, Санкт-Петербург г, Энгельса пр-кт, дом  115, корпус  1",2021-08-14,RUB,39952.71
Шаповалов Тимур Максимович,1964-11-09,"107241, Москва г, Байкальская ул, дом  18, корпус  1",2021-06-02,RUB,86204.33
Леонтьева Анастасия Александровна,1977-02-16,"140054, Московская обл, Котельники г, Железнодорожная ул, дом  1, корпус  4",2021-02-25,RUB,41267.21
Леонов Марк Михайлович,1967-02-19,"105187, Москва г, Вольный 2-й пер, дом  11",2021-03-22,RUB,64870.73
Филимонова Эмилия Артуровна,1966-07-29,"115162, Москва г, Люсиновская ул, дом  60",2021-09-30,RUB,48353.97
Матвеев Виктор Васильевич,1975-12-12,"117216, Москва г, Дмитрия Донского б-р, дом  18/4",2021-12-07,RUB,192837.11
Климов Даниэль Алексеевич,1980-07-10,"121353, Москва г, Сколковское ш, дом  22, корпус  1",2021-03-11,RUB,132022.65
Савельева Александра Фёдоровна,1993-05-12,"129337, Москва г, Красная Сосна ул, дом  3, корпус  2",2021-04-11,RUB,50157.9
Игнатова Алина Андреевна,1972-02-21,"194361, Санкт-Петербург г, Садовая ул, дом  12",2021-11-22,RUB,72976.94
Романов Дмитрий Александрович,1972-11-29,"115162, Москва г, Мытная ул, дом  44",2021-12-14,RUB,101920.8
Осипова Ева Григорьевна,1971-01-14,"125252, Москва г, Новопесчаная ул, дом  26",2021-11-19,EUR,1436.72
Кириллова Алиса Александровна,2000-06-02,"141212, Московская обл, Пушкинский р-н, Лесные Поляны п, Ленина ул, дом  9",2021-06-05,RUB,38749.69
Власов Даниил Дмитриевич,1992-08-27,"119192, Москва г, Мичуринский пр-кт, дом  11, корпус  3",2021-06-01,RUB,200500.27
Алексеева Алёна Матвеевна,1989-01-03,"143090, Московская обл, Краснознаменск г, Строителей ул, дом  7",2021-11-08,RUB,75429.44
Петров Михаил Гордеевич,1997-12-14,"121351, Москва г, Молодогвардейская ул, дом  3",2021-10-04,RUB,28566.56
Зуева Анастасия Романовна,1972-07-21,"109451, Москва г, Верхние Поля ул, дом  28",2021-09-10,RUB,71456.91
Лобанова Елизавета Платоновна,1974-09-01,"111555, Москва г, Молостовых ул, дом  1, корпус  6",2021-08-11,RUB,39852.18
Власов Даниил Дмитриевич,1992-08-27,"124575, Москва г, Зеленоград г, Панфилова ул, дом  15А",2021-05-21,RUB,122250.83
Лапшина Арина Матвеевна,1960-09-27,"121359, Москва г, Академика Павлова ул, дом  27, корпус  2",2021-06-21,USD,647.39
Беляева Влада Павловна,1981-12-09,"143700, Московская обл, Шаховской р-н, Шаховская рп, Шамонина ул, дом  25",2021-08-10,RUB,71846.19
Казакова Надежда Ильинична,1985-05-18,"191036, Санкт-Петербург г, Кременчугская ул, дом  11, корпус  1",2021-06-10,RUB,30464.14
Кузнецова Вера Валерьевна,1997-05-26,"109559, Москва г, Краснодарская ул, дом  51, корпус  5",2021-05-05,RUB,103006.44
Козлов Игорь Иванович,1986-08-04,"143500, Московская обл, Истринский р-н, Истра г, Советская ул, дом  20/44",2021-02-04,RUB,6054.59
Орлова Анна Михайловна,1968-04-09,"199406, Санкт-Петербург г, Гаванская ул, дом  49, корпус  2",2021-06-03,RUB,57137.03
Нестерова Мария Германовна,1994-09-23,"109147, Москва г, Факельный Б. пер, дом ",2021-09-02,USD,709.01
Попов Андрей Даниилович,1997-06-25,"129323, Москва г, Снежная ул, дом  14, корпус  1",2021-12-28,RUB,83541.01
Ковалева Алиса Матвеевна,1996-09-03,"129327, Москва г, Летчика Бабушкина ул, дом  22",2021-02-04,RUB,40831.24
Ильин Пётр Алексеевич,1967-09-17,"141100, Московская обл, Щелковский р-н, Щелково г, Советский 1-й пер, дом  4а",2021-08-22,RUB,62686.53
Петров Михаил Гордеевич,1997-12-14,"693007, Сахалинская обл, Южно-Сахалинск г, Комсомольская ул, дом  190 а",2021-02-19,EUR,436.36
Воробьева Татьяна Викторовна,1986-12-01,"109202, Москва г, Чистопольская ул, дом  2, корпус  2",2021-10-21,RUB,86637.56
Ильина Софья Леонидовна,1989-11-17,"123317, Москва г, Стрельбищенский пер, дом  7А",2021-01-14,RUB,66936.64
Борисова Малика Тимофеевна,1996-04-16,"117218, Москва г, Новочеремушкинская ул, дом  17",2021-12-06,USD,1211.64
Михайлов Никита Максимович,1989-01-19,"125430, Москва г, Митинская ул, дом  44",2021-07-12,RUB,16764.56
Кириллова Алиса Александровна,2000-06-02,"141870, Московская обл, Дмитровский р-н, Лупаново д, Родниковая ул, дом  42",2021-12-19,RUB,94508.72
Козлова Ника Алексеевна,1993-02-11,"129343, Москва г, Нансена проезд, дом  3",2021-10-14,USD,679.21
Федорова Александра Алексеевна,1990-05-02,"119634, Москва г, Шолохова ул, дом  15",2021-07-07,EUR,848.86
Петровская Алина Ивановна,1980-11-27,"105082, Москва г, Рубцов пер, дом  4",2021-11-27,RUB,94300.92
Лопатин Артём Андреевич,1996-09-09,"192071, Санкт-Петербург г, Будапештская ул, дом  38, корпус  1",2021-03-31,USD,1034.47
Латышева Евгения Ильинична,1958-03-18,"141540, Московская обл, Солнечногорский р-н, Поварово дп, Локомотивный мкр, дом  3",2021-02-03,EUR,285.41
Беляев Павел Матвеевич,1987-06-26,"193318, Санкт-Петербург г, Бадаева ул, дом  11",2021-10-18,RUB,146279.9
Авдеев Дмитрий Дмитриевич,1976-11-09,"199004, Санкт-Петербург г, 1-я В.О. линия, дом  20Г",2021-12-24,RUB,80143.08
Герасимова Майя Семёновна,1957-12-08,"125412, Москва г, Ангарская ул, дом  28, корпус  2",2021-09-15,RUB,28547.75
Алексеева Виктория Ивановна,1985-07-06,"693007, Сахалинская обл, Южно-Сахалинск г, Победы пр-кт, дом  74",2021-01-04,RUB,38477.67
Андреева Александра Ивановна,1979-04-28,"Санкт-Петербург г, Колпино г, Ленина пр",2021-07-07,EUR,518.73
Королев Марк Дмитриевич,2000-02-25,"163025, Архангельская обл, Архангельск г, Школьная ул, дом  173",2021-05-12,RUB,38993.1
Савина Есения Андреевна,1977-06-02,"197371, Санкт-Петербург г, Шаврова ул, дом  23, корпус  1",2021-04-06,EUR,1053.24
